order_id,customer_name,order_date,category,sub_category,product_name,quantity,unit_price,total_price,region
1000,Caleb Dav,2025-01-:,Clothing,Jeans,Jeans Try,2,1197.0,2394.0,West
1001,Misty Her,2025-05-C,Clothing,Jeans,Jeans Nev,9,1509.0,13581.0,South
1002,Rick Soto,2025-06-(,Clothing,Shoes,Shoes Us,5,1046.0,5230.0,East
1003,Sean Haa:,2025-02-2,Furniture,Desk,Desk Sect,10,292.0,2920.0,South
1004,Ann Hall,2025-06-C,Furniture,Cabinet,Cabinet C,2,548.0,1096.0,North
1005,Michelle \,2025-02-C,Furniture,Desk,Desk Poin,2,2729.0,5458.0,South
1006,Breanna ¢,2025-04-(,Grocery,Bread,Bread Bla,6,4356.0,26136.0,East
1007,Angela Ri,2025-06-1,Furniture,Chair,Chair Beli,7,2971.0,20797.0,West
1008,Emily And,2025-02-2,Electronic,Mobile,| Mobile Ev,10,701.0,7010.0,North
1009,Laura Anc,,Grocery,Snacks,Snacks Ca,1,4454.0,4454.0,East
1010,Ryan Smit,2025-01-(,Electronic,Laptop,_ Laptop Fit,2,4917.0,9834.0,South
1011,Valerie Hc,,Furniture,Couch,= Couch Ch,10,1759.0,17590.0,West
1012,Kyle Kirby,,Grocery,Juice,Juice Cou!,10,781.0,7810.0,South
1013,Barry Joh!,,Grocery,Juice,Juice Stafi,1,2754.0,2754.0,East
1014,Dawn Edv,,Grocery,Juice,Juice Qua,7,737.0,5159.0,South
1015,Kylie Cox,2025-05-C,Clothing,Jeans,Jeans Few,3,1559.0,4677.0,East
1016,Rachel Wi,,Grocery,Bread,Bread Skil,2,2413.0,4826.0,West
1017,Tracy Will,,Clothing,Jeans,Jeans Son,3,3222.0,9666.0,South
1018,Richard,,Furniture,Cabinet,Cabinet A,6,4966.0,29796.0,North
1019,Debbie Tu,,Grocery,Snacks,Snacks So,10,4499.0,44990.0,West
1020,Roy Stew:,2025-02-2,Electronic,Mobile,| Mobile Ct,5,2660.0,13300.0,North
1021,Michelle |,2025-04-2,Clothing,Shirt,Shirt Carr,2,732.0,1464.0,North
1022,Benjamin,2025-04-:,Clothing,Shoes,Shoes Job,10,2056.0,20560.0,East
1023,Nicholas f,,Furniture,Cabinet,Cabinet Ti,1,262.0,262.0,East
1024,Jodi Smitt,2025-01-:,Grocery,Bread,Bread Pas,6,4511.0,27066.0,East
1025,Michael \,2025-03-1,Furniture,Chair,Chair Con,2,1360.0,2720.0,South
1026,Kerry Moi,2025-01-(,Grocery,Bread,Bread Bak,8,2262.0,18096.0,South
1027,Luis Ward,2025-04-1,Furniture,Desk,Desk Fina,1,1711.0,1711.0,North
1028,Abigail Po,2025-05-2,Clothing,Shoes,Shoes Hei,1,2195.0,2195.0,West
1029,Nicholas,,Grocery,Milk,Milk Youn,9,1305.0,11745.0,East
1030,Ashley Joy,2025-05-1,Electronic,Headphor,Headphor,9,2864.0,25776.0,South
1031,Robert Le,2025-04-1,Furniture,Couch,Couch Ba:,4,1142.0,4568.0,North
1032,Mary Stev,2025-01-(,Grocery,Bread,Bread Toc,6,1054.0,6324.0,East
1033,Emily Ray,,Electronic,Laptop,Laptop Se,6,2564.0,15384.0,North
1034,James Sm,2025-02-(,Grocery,Snacks,Snacks Ar,7,548.0,3836.0,East
1035,Bradley,,Grocery,Bread,Bread Sor,9,1006.0,9054.0,West
1036,John Hug!,2025-01-2,Furniture,Couch,= Couch Fot,5,2671.0,13355.0,West
1037,Eric Ande,,Furniture,Cabinet,Cabinet H,1,3500.0,3500.0,West
